datetime,word,hint,won,difficulty,total_attempts,used_attempts,correct_guessed_letters,incorrect_guessed_letters,correct_guesses,incorrect_guesses,time_taken,game_name,clicks_on_guess,category,sub_category
2025-05-01T08:48:23,cramped,,False,1.0,6,6,c,"o,l,q,s,f,w",,,,hangman,,,
2025-05-01T08:48:44,clean,,True,0.0,6,0,"c,l,e,a,n",,,,,hangman,,,
2025-05-01T09:00:43,noisy,,True,0.0,6,0,"n,o,i,s,y",,,,12.17,hangman,,,
2025-05-01T09:01:24,dusty,,True,0.67,6,4,"d,u,s,t,y","r,i,e,p",,,39.73,hangman,,,
2025-05-01T09:02:01,contemporary,,True,0.0,6,0,"c,o,n,t,e,m,p,o,r,a,r,y",,,,34.69,hangman,,,
2025-05-01T09:02:09,comfortable,,True,0.0,6,0,"c,o,m,f,o,r,t,a,b,l,e",,,,7.62,hangman,,,
2025-05-01T09:02:19,quiet,,True,0.0,6,0,"q,u,i,e,t",,,,8.49,hangman,,,
2025-05-01T09:02:36,cozy,,True,0.0,6,0,"c,o,z,y",,,,15.45,hangman,,,
2025-05-01T09:02:54,messy,,False,1.0,6,6,,"z,g,c,b,d,a",,,16.13,hangman,,,
2025-05-01T09:05:54,uncomfortable,,True,0.33,6,2,"u,n,c,o,m,f,o,r,t,a,b,l,e","d,i",,,23.77,hangman,,,
2025-05-01T10:31:34,clean,limpo,True,0.0,6,0,"c,l,e,a,n",,,,5,hangman,,,
2025-05-01T10:31:45,cozy,acolhedor,False,1.0,6,6,"c,z","x,n,m,b,v,a",,,10,hangman,,,
2025-05-01T10:32:25,noisy,ruidoso,True,0.0,6,0,"n,o,i,s,y",,,,38,hangman,,,
2025-05-01T10:32:42,temporary,temporário,False,1.0,6,6,a,"x,z,n,c,b,v",,,14,hangman,,,
2025-05-01T11:15:42,uncomfortable,desconfortável,True,0.0,6,0,"u,n,c,o,m,f,o,r,t,a,b,l,e",,,,0,hangman,,,
2025-05-01T11:16:06,abandoned,abandonado,True,0.17,6,1,"a,b,a,n,d,o,n,e,d",m,,,0,hangman,,,
2025-05-01T11:20:43,provincial,provincial,True,0.0,6,0,"p,r,o,v,i,n,c,i,a,l",,,,9.002966403961182,hangman,,,
2025-05-01T11:21:10,messy,desarrumado,True,0.5,6,3,"m,e,s,s,y","d,a,r",,,14.0043466091156,hangman,,,
2025-05-01T11:22:36,spacious,espaçoso,True,0.33,6,2,"s,p,a,c,i,o,u,s","h,e",,,85.02545428276062,hangman,,,
2025-05-01T11:23:02,uncomfortable,desconfortável,True,0.0,6,0,"u,n,c,o,m,f,o,r,t,a,b,l,e",,,,23.006908416748047,hangman,,,
2025-05-01T11:23:23,temporary,temporário,True,0.0,6,0,"t,e,m,p,o,r,a,r,y",,,,10.00292181968689,hangman,,,
2025-05-01T11:24:36,dusty,empoeirado,True,0.83,6,5,"d,u,s,t,y","z,o,a,i,r",,,70.02144765853882,hangman,,,
2025-05-01T11:25:14,cramped,apertado,True,0.67,6,4,"c,r,a,m,p,e,d","h,n,y,t",,,35.01025176048279,hangman,,,
2025-05-01T11:25:46,quiet,silencioso,True,0.0,6,0,"q,u,i,e,t",,,,8.002238273620605,hangman,,,
2025-05-01T11:26:17,|uxurious,IuXuoso,False,1.0,6,6,"u,x,u,i,o,u,s","b,z,y,l,v,c",,,30.009848594665527,hangman,,,
2025-05-01T11:26:28,cozy,acolhedor,True,0.0,6,0,"c,o,z,y",,,,5.001885652542114,hangman,,,
2025-05-01T11:26:48,contemporary,contemporâneo,True,0.0,6,0,"c,o,n,t,e,m,p,o,r,a,r,y",,,,18.006763458251953,hangman,,,
2025-05-01T11:26:53,clean,limpo,True,0.0,6,0,"c,l,e,a,n",,,,4.001095771789551,hangman,,,
2025-05-01T11:27:04,comfortable,confortável,True,0.17,6,1,"c,o,m,f,o,r,t,a,b,l,e",n,,,8.0025634765625,hangman,,,
2025-05-01T11:27:10,noisy,ruidoso,True,0.0,6,0,"n,o,i,s,y",,,,5.001431941986084,hangman,,,
2025-05-01T11:27:16,abandoned,abandonado,True,0.17,6,1,"a,b,a,n,d,o,n,e,d",m,,,4.0010740756988525,hangman,,,
2025-05-01T11:33:22,contemporary,contemporâneo,True,0.0,6,0,"c,o,n,t,e,m,p,o,r,a,r,y",,,,31.00967788696289,hangman,5,,
2025-05-01T11:33:30,dusty,empoeirado,True,0.0,6,0,"d,u,s,t,y",,,,5.002163648605347,hangman,1,,
2025-05-01T11:33:38,uncomfortable,desconfortável,True,0.0,6,0,"u,n,c,o,m,f,o,r,t,a,b,l,e",,,,6.001572847366333,hangman,1,,
2025-05-01T11:33:46,clean,limpo,True,0.17,6,1,"c,l,e,a,n",m,,,7.003168344497681,hangman,2,,
2025-05-01T11:33:52,provincial,provincial,True,0.0,6,0,"p,r,o,v,i,n,c,i,a,l",,,,4.001620769500732,hangman,1,,
2025-05-01T11:33:59,temporary,temporário,True,0.0,6,0,"t,e,m,p,o,r,a,r,y",,,,5.001616477966309,hangman,1,,
2025-05-01T11:34:04,noisy,ruidoso,True,0.0,6,0,"n,o,i,s,y",,,,4.001323699951172,hangman,1,,
2025-05-01T11:34:35,spacious,espaçoso,True,0.0,6,0,"s,p,a,c,i,o,u,s",,,,29.010404348373413,hangman,6,,
2025-05-01T11:34:44,comfortable,confortável,True,0.0,6,0,"c,o,m,f,o,r,t,a,b,l,e",,,,7.002421140670776,hangman,1,,
2025-05-01T11:35:02,cramped,apertado,True,0.17,6,1,"c,r,a,m,p,e,d",s,,,17.02079701423645,hangman,3,,
2025-05-01T11:35:19,furnished,mobilado,False,1.0,6,6,"h,e,d","w,z,o,a,g,m",,,16.005220413208008,hangman,8,,
2025-05-01T11:35:42,messy,desarrumado,True,0.67,6,4,"m,e,s,s,y","a,r,d,u",,,18.011816024780273,hangman,8,,
2025-05-01T11:35:49,quiet,silencioso,True,0.0,6,0,"q,u,i,e,t",,,,5.029746055603027,hangman,1,,
2025-05-01T11:39:43,|uxurious,IuXuoso,False,1.0,6,6,x,"b,z,n,c,v,m",,,233.07482957839966,hangman,18,,
2025-05-01T11:40:15,cozy,acolhedor,True,0.0,6,0,"c,o,z,y",,,,30.010117053985596,hangman,1,,
2025-05-01T11:40:58,abandoned,abandonado,True,0.0,6,0,"a,b,a,n,d,o,n,e,d",,,,31.011847734451294,hangman,1,,
2025-05-01T12:02:29,contemporary,contemporâneo,True,0.0,6,0,"c,o,n,t,e,m,p,o,r,a,r,y",,,,13.003796100616455,hangman,8,casa,descrição_da_casa
2025-05-01T13:01:09,hourglass,a ampulheta,False,1.0,6,6,"h,u,r,l,a","x,t,f,p,m,e",,,48.01766610145569,hangman,11,casa,decoração
2025-05-01T13:02:52,statuette,a estatueta,False,1.0,6,6,"s,t,a,t,e,t,t,e","w,y,o,l,h,i",,,58.02127933502197,hangman,11,casa,decoração
2025-05-01T13:08:26,bedding,a roupa de cama,False,1.0,6,6,"b,e,d,d","s,l,u,a,c,r",,,53.018383264541626,hangman,9,casa,decoração
2025-05-01T13:08:52,frame,a moldura,False,1.0,6,6,"a,e","s,d,h,q,p,u",,,20.007145404815674,hangman,4,casa,decoração
2025-05-01T13:09:51,candle,a vela,False,1.0,6,6,"a,d,l,e","s,o,h,v,g,j",,,53.01950645446777,hangman,10,casa,decoração
2025-05-01T13:14:42,tinsel,a grinalda | ouropel,False,1.0,6,6,"t,i,s","b,y,o,h,a,r",,,63.02191090583801,hangman,9,casa,decoração
2025-05-01T13:18:39,drapes,as cortinas | cortinas,False,1.0,6,6,"r,a,p,e,s","w,o,l,h,g,c",,,120.0420331954956,hangman,12,casa,decoração
2025-05-01T13:18:54,hourglass,a ampulheta | ampulheta,True,0.0,6,0,"h,o,u,r,g,l,a,s,s",,,,9.002668142318726,hangman,1,casa,decoração
2025-05-01T13:19:09,statuette,a estatueta | estatueta,True,0.0,6,0,"s,t,a,t,u,e,t,t,e",,,,12.004294157028198,hangman,4,casa,decoração
2025-05-01T13:20:01,towel,a toalha | toalha,False,1.0,6,6,"t,o,l","s,f,y,h,a,r",,,46.01797127723694,hangman,9,casa,decoração
2025-05-01T13:20:34,ornament,o ornamento | ornamento,True,0.0,6,0,"o,r,n,a,m,e,n,t",,,,25.008634567260742,hangman,6,casa,decoração
2025-05-01T13:22:17,tablecloth,a toalha de mesa | Tocada de mesa,True,0.5,6,3,"t,a,b,l,e,c,l,o,t,h","s,w,y",,,69.02464842796326,hangman,13,casa,decoração
2025-05-01T13:22:57,towel,a toalha | toalha,True,0.0,6,0,"t,o,w,e,l",,,,7.00302529335022,hangman,1,casa,decoração
2025-05-01T13:23:24,napkin,o guardanapo | guardanapo,False,1.0,6,6,a,"t,z,o,q,g,r",,,23.007771730422974,hangman,7,casa,decoração
2025-05-01T13:23:45,napkin,o guardanapo | guardanapo,True,0.0,6,0,"n,a,p,k,i,n",,,,10.003811120986938,hangman,1,casa,decoração
2025-05-01T13:25:13,flowerpot,O Vaso | Flowerpot,False,1.0,6,6,"f,o,w,r,p,o,t","s,x,z,a,u,c",,,83.02886962890625,hangman,12,casa,decoração
